;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CT_MODULE;;;;;;;;;;;;;;;;;;;;;;;;;;;;
_module_id;_unique_name;_name;_academic_year;_deptName;_staff1Name;_staff2Name;_tag1;_tag2;_tag3;_weekly_target;_total_target;_schedulable;_www;;;;;;;;;;;;;;;
889;Druga kwantyzacja i pods. KTP;Druga kwantyzacja i pods. KTP;;;;;;;;;;Y;;;;;;;;;;;;;;;;
1799;Dwuwymiarowe gry komp.;Dwuwymiarowe gry komp.;;;;;;;;;;Y;;;;;;;;;;;;;;;;
890;Dydaktyka Szkoły Wyższej;Dydaktyka Szkoły Wyższej;;;;;;;;;;Y;;;;;;;;;;;;;;;;
891;E-Biznes;E-Biznes;;;;;;;;;;Y;;;;;;;;;;;;;;;;
892;Efekty kwantowe w strukturach niskowym.;Efekty kwantowe w strukturach niskowym.;;;;;;;;;;Y;;;;;;;;;;;;;;;;
893;Ekologia matematyczna;Ekologia matematyczna;;;;;;;;;;Y;;;;;;;;;;;;;;;;
894;Ekologistyka;Ekologistyka;;;;;;;;;;Y;;;;;;;;;;;;;;;;
895;Ekonometria matematyczna;Ekonometria matematyczna;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
2124;Ekonomia i zarządzanie;Ekonomia i zarządzanie;;;;;;;;;;Y;;;;;;;;;;;;;;;;
896;Ekonomika transportu;Ekonomika transportu;;;;;;;;;;Y;;;;;;;;;;;;;;;;
897;Eksperym. metody fizyki materiałów;Eksperym. metody fizyki materiałów;;;;;;;;;;Y;;;;;;;;;;;;;;;;
898;Eksploracja danych;Eksploracja danych;;;;;;;;;;Y;FTIMS;;;;;;;;;;;;;;;
899;Elektrodynamika;Elektrodynamika;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
900;Elements of Optoelec.;Elements of Optoelec.;;;;;;;;;;Y;;;;;;;;;;;;;;;;
901;Elementy analizy matem I;Elementy analizy matem I;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
902;Elementy analizy matemat. I;Elementy analizy matemat. I;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
903;Elementy prawa w Szkolnictwie Wyższym;Elementy prawa w Szkolnictwie Wyższym;;;;;;;;;;Y;;;;;;;;;;;;;;;;
904;Elementy zaawansowanego programowania;Elementy zaawansowanego programowania;;;;;;;;;;Y;FTIMS;;;;;;;;;;;;;;;
905;Embedded Systems;Embedded Systems;;;;;;;;;;Y;;;;;;;;;;;;;;;;
906;Environm. Science;Environm. Science;;;;;;;;;;Y;;;;;;;;;;;;;;;;
907;Eurologistyka;Eurologistyka;;;;;;;;;;Y;;;;;;;;;;;;;;;;
908;Fakultet;Fakultet;;;;;;;;;;Y;;;;;;;;;;;;;;;;
909;Film animowany;Film animowany;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
910;Filozofia;Filozofia;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
911;Final Project;Final Project;;;;;;;;;;Y;;;;;;;;;;;;;;;;
912;Final project - IFE FT;Final project - IFE FT;;;;;;;;;;Y;;;;;;;;;;;;;;;;
913;Fiz. podst. medycy nuklearnej;Fiz. podst. medycy nuklearnej;;;;;;;;;;Y;WFTIMS;;;;;;;;;;;;;;;
